,Group.1,PCT_ADVC,MEAN_EXP,M_BSAL,Dropout
1,Arizona,43.33504921,9.953790614,42740.0787,7.6
2,Colorado,48.46977049,12.28815629,43124.06777,6.9
3,Florida,30.19160931,11.21243697,43439.09398,3.8
4,Idaho,21.23135593,14.50980392,42306.5915,2.6
5,Iowa,27.23107981,16.24223164,41775.27754,2.3
6,Kansas,40.09102787,15.06803219,40438.9188,2.7
7,Kentucky,74.96296012,13.53127355,42983.85456,3
8,Louisiana,31.17385103,15.14705882,41745.78382,7.4
9,Maine,36.14485981,17.49921997,42076.59282,5.3
10,Minnesota,47.21432054,14.56361668,48700.77543,3
11,Mississippi,38.1303095,12.72097561,39783.15512,4.3
12,Missouri,47.94814279,12.3301268,39197.91255,3.7
13,Nebraska,34.78897912,16.11860941,40717.52249,2.8
14,Oklahoma,27.80549853,14.08074898,37316.13751,3.5
15,South Carolina,54.92559159,14.43614248,42680.13443,3.9
16,Texas,20.87056903,12.28479263,43684.88282,4
