State,Completion,Salary,,
Total,84 ,59426,,
Alabama,87 ,49410,,
Alaska,76 ,68684,,
Arizona,80 ,48087,,
Arkansas,87 ,49105,,
California,83 ,78599,,
Colorado,79 ,47004,,
Connecticut,87 ,73338,,
Delaware,86 ,61063,,
District of Columbia,69 ,77205,,
Florida,81 ,50104,,
Georgia,79 ,55187,,
Hawaii,83 ,58487,,
Idaho,80 ,46970,,
Illinois,86 ,62470,,
Indiana,87 ,51648,,
Iowa,91 ,55417,,
Kansas,86 ,48633,,
Kentucky,89 ,53093,,
Louisiana,79 ,50660,,
Maine,87 ,51427,,
Maryland,88 ,67678,,
Massachusetts,88 ,78397,,
Michigan,80 ,63169,,
Minnesota,82 ,57960,,
Mississippi,82 ,43530,,
Missouri,89 ,48839,,
Montana,86 ,51973,,
Nebraska,89 ,52331,,
Nevada,74 ,57990,,
New Hampshire,88 ,57657,,
New Jersey,90 ,70605,,
New Mexico,71 ,48031,,
New York,80 ,80608,,
North Carolina,86 ,48823,,
North Dakota,88 ,51400,,
Ohio,84 ,57479,,
Oklahoma,82 ,46109,,
Oregon,75 ,61469,,
Pennsylvania,86 ,66349,,
Rhode Island,83 ,67415,,
South Carolina,83 ,49666,,
South Dakota,84 ,42798,,
Tennessee,89 ,49104,,
Texas,89 ,52845,,
Utah,85 ,47749,,
Vermont,88 ,59984,,
Virginia,87 ,51769,,
Washington,80 ,54727,,
West Virginia,90 ,46461,,
Wisconsin,88 ,55110,,
Wyoming,80 ,59209,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
