StateCode,NCESSCH,PCT_BACH,PCT_ADVC,P_EXPLT6,P_EXPGT5,MEAN_EXP,M_BSALT6,M_BSAGT5,M_BSAL
4,40000100120,51.6,48.4,41.9,58.1,9,37223,47784,43355
4,40000100616,70.8,29.2,12.5,87.5,12,36300,49764,48081
4,40000101203,56.8,43.2,43.2,56.8,8,36419,46909,42373
4,40000101204,48.6,51.4,23,77,11,36898,49443,46561
4,40000101871,52.8,47.2,33.3,66.7,8,38584,45746,43359
4,40000101872,35,65,22.5,77.5,10,40447,45870,44650
4,40000102344,53.3,46.7,53.3,46.7,7,37587,44821,40963
4,40000102484,60,40,53.3,46.7,6,37688,43221,40270
4,40000300147,58.3,41.7,19.4,80.6,11,32787,41512,39815
4,40000301198,65.8,34.2,52.6,47.4,8,33500,42286,37662
4,40000301458,52.6,47.4,47.4,52.6,9,34648,42706,38889
4,40000301969,58.3,41.7,44.4,55.6,9,34788,41888,38733
4,40000400912,39.1,60.9,13,87,14,33300,47959,46047
4,40000500629,87.5,-1,37.5,62.5,6,33980,38245,36646
4,40002101276,72.7,27.3,31.8,68.2,12,25839,36324,32988
4,40002201354,83.3,-1,0,100,10,-2,33838,33838
4,40002301352,70.3,29.7,24.3,75.7,8,31417,41746,39233
4,40002301355,65,35,50,50,7,34756,39470,37113
4,40002301524,50,46.7,30,70,10,35760,37919,37271
4,40002601389,100,0,50,50,5,30699,33098,31898
4,40002601459,100,0,-1,-1,9,-1,-1,36465
4,40002601460,41.7,41.7,25,75,10,31799,39043,37232
4,40002601767,50,50,-1,87.5,13,-1,42127,40816
4,40002800528,75,-1,75,-1,5,26433,-1,26825
4,40004300733,62.5,37.5,87.5,-1,7,33951,-1,33872
4,40008200006,72.5,27.5,30,70,11,40117,46432,44537
4,40008201457,62.7,34.7,40,60,9,39023,48135,44490
4,40009901182,100,0,60,-1,5,32104,-1,37692
4,40012901790,61.5,38.5,61.5,38.5,7,28688,36300,31615
4,40013801727,66.7,33.3,44.4,55.6,11,33177,41360,37723
4,40014101657,85.7,-1,57.1,42.9,6,22925,24755,23709
4,40015201961,-1,-1,-1,-1,4,-1,-1,34650
4,40016201751,0,-1,-1,0,-1,-1,-2,-1
4,40016301820,-1,0,0,-1,-1,-2,-1,-1
4,40016302429,0,-1,0,-1,-1,-2,-1,-1
4,40016303138,100,0,-1,-1,10,-1,-1,37376
4,40021200060,71.4,28.6,47.6,52.4,10,32740,45575,39463
4,40021200061,65,35,-1,90,11,-1,40395,39601
4,40021201120,61.1,38.9,27.8,72.2,12,30605,43946,40240
4,40021202444,-1,0,0,-1,-1,-2,-1,-1
4,40021601864,-1,60,80,-1,4,42752,-1,43002
4,40024102029,71.2,28.8,59.3,40.7,7,34202,41868,37320
4,40028102187,78.6,21.4,35.7,64.3,9,29203,35847,33474
4,40029500149,63.6,36.4,54.5,45.5,6,34810,37625,36089
4,40029500326,80,20,40,60,8,32387,40319,37146
4,40029500327,60,40,34.3,65.7,10,33464,41154,38518
4,40029500328,58.3,41.7,41.7,58.3,11,34067,43611,39634
4,40029500329,55.6,44.4,55.6,44.4,7,34638,41249,37576
4,40029500881,67,32,37.1,62.9,10,33173,41466,38388
4,40029501126,71.4,28.6,20,80,13,33285,42819,40912
4,40029501495,60,40,28.6,71.4,10,31616,41449,38640
4,40029501544,67.7,32.3,48.4,51.6,6,32637,40612,36753
4,40029502661,72.2,25,50,50,8,32819,42560,37689
4,40031502217,75,-1,-1,-1,8,-1,-1,37478
